nohup: ignoring input
W0210 05:04:46.472000 379250 site-packages/torch/distributed/run.py:793] 
W0210 05:04:46.472000 379250 site-packages/torch/distributed/run.py:793] *****************************************
W0210 05:04:46.472000 379250 site-packages/torch/distributed/run.py:793] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0210 05:04:46.472000 379250 site-packages/torch/distributed/run.py:793] *****************************************

🚀 启动训练: Fold 3 | GPUs: 7 | Model: ST-SAM (Sam2-Hiera-L + NewStripDetailAdapter)

Epoch 1/50:   0%|          | 0/47 [00:00<?, ?it/s]
Epoch 1/50:   0%|          | 0/47 [00:12<?, ?it/s, loss=0.513]
Epoch 1/50:   2%|▏         | 1/47 [00:12<09:23, 12.24s/it, loss=0.513]
Epoch 1/50:   2%|▏         | 1/47 [00:15<09:23, 12.24s/it, loss=0.383]
Epoch 1/50:   4%|▍         | 2/47 [00:15<05:00,  6.68s/it, loss=0.383]
Epoch 1/50:   4%|▍         | 2/47 [00:17<05:00,  6.68s/it, loss=0.357]
Epoch 1/50:   6%|▋         | 3/47 [00:17<03:30,  4.79s/it, loss=0.357]
Epoch 1/50:   6%|▋         | 3/47 [00:20<03:30,  4.79s/it, loss=0.315]
Epoch 1/50:   9%|▊         | 4/47 [00:20<02:54,  4.06s/it, loss=0.315]
Epoch 1/50:   9%|▊         | 4/47 [00:23<02:54,  4.06s/it, loss=0.227]
Epoch 1/50:  11%|█         | 5/47 [00:23<02:30,  3.58s/it, loss=0.227]
Epoch 1/50:  11%|█         | 5/47 [00:25<02:30,  3.58s/it, loss=0.182]
Epoch 1/50:  13%|█▎        | 6/47 [00:25<02:12,  3.24s/it, loss=0.182]
Epoch 1/50:  13%|█▎        | 6/47 [00:28<02:12,  3.24s/it, loss=0.205]
Epoch 1/50:  15%|█▍        | 7/47 [00:28<02:04,  3.10s/it, loss=0.205]
Epoch 1/50:  15%|█▍        | 7/47 [00:31<02:04,  3.10s/it, loss=0.208]
Epoch 1/50:  17%|█▋        | 8/47 [00:31<01:58,  3.04s/it, loss=0.208]
Epoch 1/50:  17%|█▋        | 8/47 [00:34<01:58,  3.04s/it, loss=0.269]
Epoch 1/50:  19%|█▉        | 9/47 [00:34<01:54,  3.02s/it, loss=0.269]
Epoch 1/50:  19%|█▉        | 9/47 [00:37<01:54,  3.02s/it, loss=0.213]
Epoch 1/50:  21%|██▏       | 10/47 [00:37<01:50,  3.00s/it, loss=0.213]
Epoch 1/50:  21%|██▏       | 10/47 [00:40<01:50,  3.00s/it, loss=0.176]
Epoch 1/50:  23%|██▎       | 11/47 [00:40<01:45,  2.94s/it, loss=0.176]
Epoch 1/50:  23%|██▎       | 11/47 [00:42<01:45,  2.94s/it, loss=0.16] 
Epoch 1/50:  26%|██▌       | 12/47 [00:42<01:39,  2.85s/it, loss=0.16]
Epoch 1/50:  26%|██▌       | 12/47 [00:45<01:39,  2.85s/it, loss=0.196]
Epoch 1/50:  28%|██▊       | 13/47 [00:45<01:38,  2.89s/it, loss=0.196]
Epoch 1/50:  28%|██▊       | 13/47 [00:48<01:38,  2.89s/it, loss=0.18] 
Epoch 1/50:  30%|██▉       | 14/47 [00:48<01:35,  2.88s/it, loss=0.18]
Epoch 1/50:  30%|██▉       | 14/47 [00:51<01:35,  2.88s/it, loss=0.216]
Epoch 1/50:  32%|███▏      | 15/47 [00:51<01:32,  2.90s/it, loss=0.216]
Epoch 1/50:  32%|███▏      | 15/47 [00:54<01:32,  2.90s/it, loss=0.179]
Epoch 1/50:  34%|███▍      | 16/47 [00:54<01:31,  2.95s/it, loss=0.179]
Epoch 1/50:  34%|███▍      | 16/47 [00:57<01:31,  2.95s/it, loss=0.175]
Epoch 1/50:  36%|███▌      | 17/47 [00:57<01:27,  2.92s/it, loss=0.175]
Epoch 1/50:  36%|███▌      | 17/47 [01:00<01:27,  2.92s/it, loss=0.158]
Epoch 1/50:  38%|███▊      | 18/47 [01:00<01:25,  2.96s/it, loss=0.158]
Epoch 1/50:  38%|███▊      | 18/47 [01:03<01:25,  2.96s/it, loss=0.163]
Epoch 1/50:  40%|████      | 19/47 [01:03<01:23,  2.97s/it, loss=0.163]
Epoch 1/50:  40%|████      | 19/47 [01:06<01:23,  2.97s/it, loss=0.17] 
Epoch 1/50:  43%|████▎     | 20/47 [01:06<01:20,  2.98s/it, loss=0.17]
Epoch 1/50:  43%|████▎     | 20/47 [01:09<01:20,  2.98s/it, loss=0.169]
