nohup: ignoring input
W0210 05:02:01.387000 370127 site-packages/torch/distributed/run.py:793] 
W0210 05:02:01.387000 370127 site-packages/torch/distributed/run.py:793] *****************************************
W0210 05:02:01.387000 370127 site-packages/torch/distributed/run.py:793] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0210 05:02:01.387000 370127 site-packages/torch/distributed/run.py:793] *****************************************

🚀 启动训练: Fold 0 | GPUs: 7 | Model: ST-SAM (Sam2-Hiera-L + NewStripDetailAdapter)

Epoch 1/50:   0%|          | 0/47 [00:00<?, ?it/s]
Epoch 1/50:   0%|          | 0/47 [00:05<?, ?it/s, loss=0.568]
Epoch 1/50:   2%|▏         | 1/47 [00:05<04:18,  5.63s/it, loss=0.568]
Epoch 1/50:   2%|▏         | 1/47 [00:06<04:18,  5.63s/it, loss=0.405]
Epoch 1/50:   4%|▍         | 2/47 [00:06<01:57,  2.61s/it, loss=0.405]
Epoch 1/50:   4%|▍         | 2/47 [00:06<01:57,  2.61s/it, loss=0.344]
Epoch 1/50:   6%|▋         | 3/47 [00:06<01:12,  1.65s/it, loss=0.344]
Epoch 1/50:   6%|▋         | 3/47 [00:07<01:12,  1.65s/it, loss=0.282]
Epoch 1/50:   9%|▊         | 4/47 [00:07<00:51,  1.20s/it, loss=0.282]
Epoch 1/50:   9%|▊         | 4/47 [00:07<00:51,  1.20s/it, loss=0.301]
Epoch 1/50:  11%|█         | 5/47 [00:07<00:39,  1.05it/s, loss=0.301]
Epoch 1/50:  11%|█         | 5/47 [00:08<00:39,  1.05it/s, loss=0.221]
Epoch 1/50:  13%|█▎        | 6/47 [00:08<00:32,  1.25it/s, loss=0.221]
Epoch 1/50:  13%|█▎        | 6/47 [00:08<00:32,  1.25it/s, loss=0.195]
Epoch 1/50:  15%|█▍        | 7/47 [00:08<00:28,  1.42it/s, loss=0.195]
Epoch 1/50:  15%|█▍        | 7/47 [00:09<00:28,  1.42it/s, loss=0.208]
Epoch 1/50:  17%|█▋        | 8/47 [00:09<00:24,  1.56it/s, loss=0.208]
Epoch 1/50:  17%|█▋        | 8/47 [00:09<00:24,  1.56it/s, loss=0.243]
Epoch 1/50:  19%|█▉        | 9/47 [00:09<00:22,  1.66it/s, loss=0.243]
Epoch 1/50:  19%|█▉        | 9/47 [00:10<00:22,  1.66it/s, loss=0.208]
Epoch 1/50:  21%|██▏       | 10/47 [00:10<00:21,  1.74it/s, loss=0.208]
Epoch 1/50:  21%|██▏       | 10/47 [00:10<00:21,  1.74it/s, loss=0.175]
Epoch 1/50:  23%|██▎       | 11/47 [00:10<00:19,  1.80it/s, loss=0.175]
Epoch 1/50:  23%|██▎       | 11/47 [00:11<00:19,  1.80it/s, loss=0.207]
Epoch 1/50:  26%|██▌       | 12/47 [00:11<00:18,  1.85it/s, loss=0.207]
Epoch 1/50:  26%|██▌       | 12/47 [00:11<00:18,  1.85it/s, loss=0.187]
Epoch 1/50:  28%|██▊       | 13/47 [00:11<00:18,  1.87it/s, loss=0.187]
Epoch 1/50:  28%|██▊       | 13/47 [00:12<00:18,  1.87it/s, loss=0.177]
Epoch 1/50:  30%|██▉       | 14/47 [00:12<00:17,  1.90it/s, loss=0.177]
Epoch 1/50:  30%|██▉       | 14/47 [00:12<00:17,  1.90it/s, loss=0.195]
Epoch 1/50:  32%|███▏      | 15/47 [00:12<00:16,  1.91it/s, loss=0.195]
Epoch 1/50:  32%|███▏      | 15/47 [00:13<00:16,  1.91it/s, loss=0.156]
Epoch 1/50:  34%|███▍      | 16/47 [00:13<00:16,  1.93it/s, loss=0.156]
Epoch 1/50:  34%|███▍      | 16/47 [00:13<00:16,  1.93it/s, loss=0.167]
Epoch 1/50:  36%|███▌      | 17/47 [00:13<00:15,  1.93it/s, loss=0.167]
Epoch 1/50:  36%|███▌      | 17/47 [00:14<00:15,  1.93it/s, loss=0.165]
Epoch 1/50:  38%|███▊      | 18/47 [00:14<00:15,  1.92it/s, loss=0.165]
Epoch 1/50:  38%|███▊      | 18/47 [00:14<00:15,  1.92it/s, loss=0.158]
Epoch 1/50:  40%|████      | 19/47 [00:14<00:14,  1.92it/s, loss=0.158]
Epoch 1/50:  40%|████      | 19/47 [00:15<00:14,  1.92it/s, loss=0.152]
Epoch 1/50:  43%|████▎     | 20/47 [00:15<00:14,  1.92it/s, loss=0.152]
Epoch 1/50:  43%|████▎     | 20/47 [00:15<00:14,  1.92it/s, loss=0.201]
Epoch 1/50:  45%|████▍     | 21/47 [00:15<00:13,  1.91it/s, loss=0.201]
Epoch 1/50:  45%|████▍     | 21/47 [00:16<00:13,  1.91it/s, loss=0.136]
Epoch 1/50:  47%|████▋     | 22/47 [00:16<00:13,  1.91it/s, loss=0.136]
Epoch 1/50:  47%|████▋     | 22/47 [00:16<00:13,  1.91it/s, loss=0.197]
Epoch 1/50:  49%|████▉     | 23/47 [00:16<00:12,  1.91it/s, loss=0.197]
Epoch 1/50:  49%|████▉     | 23/47 [00:17<00:12,  1.91it/s, loss=0.177]
Epoch 1/50:  51%|█████     | 24/47 [00:17<00:12,  1.91it/s, loss=0.177]
Epoch 1/50:  51%|█████     | 24/47 [00:17<00:12,  1.91it/s, loss=0.167]
Epoch 1/50:  53%|█████▎    | 25/47 [00:17<00:11,  1.93it/s, loss=0.167]
Epoch 1/50:  53%|█████▎    | 25/47 [00:18<00:11,  1.93it/s, loss=0.164]
Epoch 1/50:  55%|█████▌    | 26/47 [00:18<00:10,  1.93it/s, loss=0.164]
Epoch 1/50:  55%|█████▌    | 26/47 [00:18<00:10,  1.93it/s, loss=0.114]
Epoch 1/50:  57%|█████▋    | 27/47 [00:18<00:10,  1.94it/s, loss=0.114]
Epoch 1/50:  57%|█████▋    | 27/47 [00:19<00:10,  1.94it/s, loss=0.144]
Epoch 1/50:  60%|█████▉    | 28/47 [00:19<00:09,  1.95it/s, loss=0.144]
Epoch 1/50:  60%|█████▉    | 28/47 [00:20<00:09,  1.95it/s, loss=0.163]
Epoch 1/50:  62%|██████▏   | 29/47 [00:20<00:09,  1.94it/s, loss=0.163]
Epoch 1/50:  62%|██████▏   | 29/47 [00:20<00:09,  1.94it/s, loss=0.164]
Epoch 1/50:  64%|██████▍   | 30/47 [00:20<00:08,  1.94it/s, loss=0.164]
Epoch 1/50:  64%|██████▍   | 30/47 [00:21<00:08,  1.94it/s, loss=0.142]
Epoch 1/50:  66%|██████▌   | 31/47 [00:21<00:08,  1.95it/s, loss=0.142]
Epoch 1/50:  66%|██████▌   | 31/47 [00:21<00:08,  1.95it/s, loss=0.133]
Epoch 1/50:  68%|██████▊   | 32/47 [00:21<00:07,  1.95it/s, loss=0.133]
Epoch 1/50:  68%|██████▊   | 32/47 [00:22<00:07,  1.95it/s, loss=0.162]
Epoch 1/50:  70%|███████   | 33/47 [00:22<00:07,  1.95it/s, loss=0.162]
Epoch 1/50:  70%|███████   | 33/47 [00:22<00:07,  1.95it/s, loss=0.163]
Epoch 1/50:  72%|███████▏  | 34/47 [00:22<00:06,  1.95it/s, loss=0.163]
Epoch 1/50:  72%|███████▏  | 34/47 [00:23<00:06,  1.95it/s, loss=0.155]
Epoch 1/50:  74%|███████▍  | 35/47 [00:23<00:06,  1.96it/s, loss=0.155]
Epoch 1/50:  74%|███████▍  | 35/47 [00:23<00:06,  1.96it/s, loss=0.193]
Epoch 1/50:  77%|███████▋  | 36/47 [00:23<00:05,  1.96it/s, loss=0.193]
Epoch 1/50:  77%|███████▋  | 36/47 [00:24<00:05,  1.96it/s, loss=0.139]
Epoch 1/50:  79%|███████▊  | 37/47 [00:24<00:05,  1.94it/s, loss=0.139]
Epoch 1/50:  79%|███████▊  | 37/47 [00:24<00:05,  1.94it/s, loss=0.121]
Epoch 1/50:  81%|████████  | 38/47 [00:24<00:04,  1.95it/s, loss=0.121]
Epoch 1/50:  81%|████████  | 38/47 [00:25<00:04,  1.95it/s, loss=0.153]
Epoch 1/50:  83%|████████▎ | 39/47 [00:25<00:05,  1.37it/s, loss=0.153]
Epoch 1/50:  83%|████████▎ | 39/47 [00:26<00:05,  1.37it/s, loss=0.126]
Epoch 1/50:  85%|████████▌ | 40/47 [00:26<00:04,  1.41it/s, loss=0.126]
Epoch 1/50:  85%|████████▌ | 40/47 [00:27<00:04,  1.41it/s, loss=0.174]
Epoch 1/50:  87%|████████▋ | 41/47 [00:27<00:03,  1.54it/s, loss=0.174]
Epoch 1/50:  87%|████████▋ | 41/47 [00:27<00:03,  1.54it/s, loss=0.124]
Epoch 1/50:  89%|████████▉ | 42/47 [00:27<00:03,  1.63it/s, loss=0.124]
Epoch 1/50:  89%|████████▉ | 42/47 [00:28<00:03,  1.63it/s, loss=0.139]
Epoch 1/50:  91%|█████████▏| 43/47 [00:28<00:02,  1.72it/s, loss=0.139]
Epoch 1/50:  91%|█████████▏| 43/47 [00:28<00:02,  1.72it/s, loss=0.13] 
Epoch 1/50:  94%|█████████▎| 44/47 [00:28<00:01,  1.79it/s, loss=0.13]
Epoch 1/50:  94%|█████████▎| 44/47 [00:29<00:01,  1.79it/s, loss=0.152]
Epoch 1/50:  96%|█████████▌| 45/47 [00:29<00:01,  1.84it/s, loss=0.152]
Epoch 1/50:  96%|█████████▌| 45/47 [00:29<00:01,  1.84it/s, loss=0.126]
Epoch 1/50:  98%|█████████▊| 46/47 [00:29<00:00,  1.88it/s, loss=0.126]
Epoch 1/50:  98%|█████████▊| 46/47 [00:30<00:00,  1.88it/s, loss=0.121]
Epoch 1/50: 100%|██████████| 47/47 [00:30<00:00,  1.96it/s, loss=0.121]
