nohup: ignoring input
W0210 09:53:45.605000 574519 site-packages/torch/distributed/run.py:793] 
W0210 09:53:45.605000 574519 site-packages/torch/distributed/run.py:793] *****************************************
W0210 09:53:45.605000 574519 site-packages/torch/distributed/run.py:793] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0210 09:53:45.605000 574519 site-packages/torch/distributed/run.py:793] *****************************************

🚀 启动训练: Fold 4 | GPUs: 7 | Model: ST-SAM (Sam2-Hiera-L + NewStripDetailAdapter)

Epoch 1/50:   0%|          | 0/50 [00:00<?, ?it/s]
Epoch 1/50:   0%|          | 0/50 [00:13<?, ?it/s, loss=0.479]
Epoch 1/50:   2%|▏         | 1/50 [00:13<10:45, 13.18s/it, loss=0.479]
Epoch 1/50:   2%|▏         | 1/50 [00:16<10:45, 13.18s/it, loss=0.391]
Epoch 1/50:   4%|▍         | 2/50 [00:16<05:42,  7.14s/it, loss=0.391]
Epoch 1/50:   4%|▍         | 2/50 [00:19<05:42,  7.14s/it, loss=0.381]
Epoch 1/50:   6%|▌         | 3/50 [00:19<04:07,  5.27s/it, loss=0.381]
Epoch 1/50:   6%|▌         | 3/50 [00:22<04:07,  5.27s/it, loss=0.269]
Epoch 1/50:   8%|▊         | 4/50 [00:22<03:23,  4.43s/it, loss=0.269]
Epoch 1/50:   8%|▊         | 4/50 [00:25<03:23,  4.43s/it, loss=0.238]
Epoch 1/50:  10%|█         | 5/50 [00:25<02:55,  3.91s/it, loss=0.238]
Epoch 1/50:  10%|█         | 5/50 [00:28<02:55,  3.91s/it, loss=0.228]
Epoch 1/50:  12%|█▏        | 6/50 [00:28<02:36,  3.57s/it, loss=0.228]
Epoch 1/50:  12%|█▏        | 6/50 [00:31<02:36,  3.57s/it, loss=0.187]
Epoch 1/50:  14%|█▍        | 7/50 [00:31<02:23,  3.33s/it, loss=0.187]
Epoch 1/50:  14%|█▍        | 7/50 [00:33<02:23,  3.33s/it, loss=0.226]
Epoch 1/50:  16%|█▌        | 8/50 [00:33<02:13,  3.17s/it, loss=0.226]
Epoch 1/50:  16%|█▌        | 8/50 [00:36<02:13,  3.17s/it, loss=0.213]
Epoch 1/50:  18%|█▊        | 9/50 [00:36<02:06,  3.09s/it, loss=0.213]
Epoch 1/50:  18%|█▊        | 9/50 [00:39<02:06,  3.09s/it, loss=0.181]
Epoch 1/50:  20%|██        | 10/50 [00:39<02:01,  3.04s/it, loss=0.181]
Epoch 1/50:  20%|██        | 10/50 [00:42<02:01,  3.04s/it, loss=0.217]
Epoch 1/50:  22%|██▏       | 11/50 [00:42<01:56,  2.98s/it, loss=0.217]
Epoch 1/50:  22%|██▏       | 11/50 [00:45<01:56,  2.98s/it, loss=0.185]
Epoch 1/50:  24%|██▍       | 12/50 [00:45<01:52,  2.95s/it, loss=0.185]
Epoch 1/50:  24%|██▍       | 12/50 [00:48<01:52,  2.95s/it, loss=0.161]
Epoch 1/50:  26%|██▌       | 13/50 [00:48<01:48,  2.92s/it, loss=0.161]
Epoch 1/50:  26%|██▌       | 13/50 [00:51<01:48,  2.92s/it, loss=0.18] 
Epoch 1/50:  28%|██▊       | 14/50 [00:51<01:44,  2.90s/it, loss=0.18]
Epoch 1/50:  28%|██▊       | 14/50 [00:54<01:44,  2.90s/it, loss=0.158]
Epoch 1/50:  30%|███       | 15/50 [00:54<01:41,  2.91s/it, loss=0.158]
Epoch 1/50:  30%|███       | 15/50 [00:56<01:41,  2.91s/it, loss=0.147]
Epoch 1/50:  32%|███▏      | 16/50 [00:56<01:38,  2.89s/it, loss=0.147]
Epoch 1/50:  32%|███▏      | 16/50 [00:59<01:38,  2.89s/it, loss=0.167]
Epoch 1/50:  34%|███▍      | 17/50 [00:59<01:34,  2.87s/it, loss=0.167]
Epoch 1/50:  34%|███▍      | 17/50 [01:02<01:34,  2.87s/it, loss=0.146]
Epoch 1/50:  36%|███▌      | 18/50 [01:02<01:32,  2.89s/it, loss=0.146]
Epoch 1/50:  36%|███▌      | 18/50 [01:05<01:32,  2.89s/it, loss=0.18] 
Epoch 1/50:  38%|███▊      | 19/50 [01:05<01:29,  2.88s/it, loss=0.18]
Epoch 1/50:  38%|███▊      | 19/50 [01:08<01:29,  2.88s/it, loss=0.132]
Epoch 1/50:  40%|████      | 20/50 [01:08<01:25,  2.86s/it, loss=0.132]
Epoch 1/50:  40%|████      | 20/50 [01:11<01:25,  2.86s/it, loss=0.175]
Epoch 1/50:  42%|████▏     | 21/50 [01:11<01:21,  2.82s/it, loss=0.175]
Epoch 1/50:  42%|████▏     | 21/50 [01:13<01:21,  2.82s/it, loss=0.149]
Epoch 1/50:  44%|████▍     | 22/50 [01:13<01:19,  2.82s/it, loss=0.149]
Epoch 1/50:  44%|████▍     | 22/50 [01:16<01:19,  2.82s/it, loss=0.164]
Epoch 1/50:  46%|████▌     | 23/50 [01:16<01:17,  2.86s/it, loss=0.164]
Epoch 1/50:  46%|████▌     | 23/50 [01:19<01:17,  2.86s/it, loss=0.135]
Epoch 1/50:  48%|████▊     | 24/50 [01:19<01:14,  2.88s/it, loss=0.135]
Epoch 1/50:  48%|████▊     | 24/50 [01:22<01:14,  2.88s/it, loss=0.176]
Epoch 1/50:  50%|█████     | 25/50 [01:22<01:12,  2.90s/it, loss=0.176]
Epoch 1/50:  50%|█████     | 25/50 [01:25<01:12,  2.90s/it, loss=0.152]
Epoch 1/50:  52%|█████▏    | 26/50 [01:25<01:10,  2.93s/it, loss=0.152]
Epoch 1/50:  52%|█████▏    | 26/50 [01:28<01:10,  2.93s/it, loss=0.162]
Epoch 1/50:  54%|█████▍    | 27/50 [01:28<01:07,  2.94s/it, loss=0.162]
